source,log_message,target_label
BillingSystem,User 10001 logged in.,Security Alert
BillingSystem,User 10002 logged out.,Security Alert
BillingSystem,User 10003 logged in.,Security Alert
BillingSystem,User 10004 logged out.,Security Alert
BillingSystem,User 10005 logged in.,Security Alert
BillingSystem,User 10006 logged out.,Security Alert
BillingSystem,User 10007 logged in.,Security Alert
BillingSystem,User 10008 logged out.,Security Alert
BillingSystem,User 10009 logged in.,Security Alert
BillingSystem,User 10010 logged out.,Security Alert
BillingSystem,Account with ID ACC-1001 created by Admin01.,User Action
BillingSystem,Account with ID ACC-1002 created by Admin02.,User Action
BillingSystem,Account with ID ACC-1003 created by Admin03.,User Action
BillingSystem,Account with ID ACC-1004 created by Admin04.,User Action
BillingSystem,Account with ID ACC-1005 created by Admin05.,User Action
Portal,User User101 logged in.,User Action
Portal,User User102 logged out.,User Action
Portal,User User103 logged in.,User Action
Portal,User User104 logged out.,User Action
Portal,User User105 logged in.,User Action
Portal,User User106 logged out.,User Action
Portal,User User107 logged in.,User Action
Portal,User User108 logged out.,User Action
Portal,User User109 logged in.,User Action
Portal,User User110 logged out.,User Action
Portal,User User111 authenticated successfully.,Security Alert
Portal,User User112 session terminated.,Security Alert
Portal,User User113 authenticated successfully.,Security Alert
Portal,User User114 session terminated.,Security Alert
Portal,User User115 authenticated successfully.,Security Alert
AnalyticsEngine,File sales_1001.csv uploaded successfully by user User501.,System Notification
AnalyticsEngine,File sales_1002.csv uploaded successfully by user User502.,System Notification
AnalyticsEngine,File sales_1003.csv uploaded successfully by user User503.,System Notification
AnalyticsEngine,File sales_1004.csv uploaded successfully by user User504.,System Notification
AnalyticsEngine,File sales_1005.csv uploaded successfully by user User505.,System Notification
AnalyticsEngine,File sales_1006.csv uploaded successfully by user User506.,System Notification
AnalyticsEngine,File sales_1007.csv uploaded successfully by user User507.,System Notification
AnalyticsEngine,File sales_1008.csv uploaded successfully by user User508.,System Notification
AnalyticsEngine,File sales_1009.csv uploaded successfully by user User509.,System Notification
AnalyticsEngine,File sales_1010.csv uploaded successfully by user User510.,System Notification
AnalyticsEngine,Backup completed successfully.,System Notification
AnalyticsEngine,Backup completed successfully.,System Notification
AnalyticsEngine,Backup completed successfully.,System Notification
AnalyticsEngine,Backup started at 2026-05-10 01:00:00.,System Notification
AnalyticsEngine,Backup started at 2026-05-11 01:00:00.,System Notification
AnalyticsEngine,Backup started at 2026-05-12 01:00:00.,System Notification
AnalyticsEngine,Backup ended at 2026-05-10 01:30:00.,System Notification
AnalyticsEngine,Backup ended at 2026-05-11 01:30:00.,System Notification
AnalyticsEngine,Backup ended at 2026-05-12 01:30:00.,System Notification
Infra,Disk cleanup completed successfully.,System Notification
Infra,Disk cleanup completed successfully.,System Notification
Infra,Disk cleanup completed successfully.,System Notification
Infra,Disk cleanup completed successfully.,System Notification
Infra,Disk cleanup completed successfully.,System Notification
Infra,System reboot initiated by user OpsAdmin01.,System Notification
Infra,System reboot initiated by user OpsAdmin02.,System Notification
Infra,System reboot initiated by user OpsAdmin03.,System Notification
Infra,System reboot initiated by user OpsAdmin04.,System Notification
Infra,System reboot initiated by user OpsAdmin05.,System Notification
Infra,System updated to version 5.0.1.,System Notification
Infra,System updated to version 5.0.2.,System Notification
Infra,System updated to version 5.0.3.,System Notification
Infra,System updated to version 5.1.0.,System Notification
Infra,System updated to version 5.2.0.,System Notification
SecurityGateway,IP 192.168.1.1 blocked due to suspicious activity.,Security Alert
SecurityGateway,IP 192.168.1.2 blocked due to suspicious activity.,Security Alert
SecurityGateway,IP 192.168.1.3 blocked due to suspicious activity.,Security Alert
SecurityGateway,IP 192.168.1.4 blocked due to suspicious activity.,Security Alert
SecurityGateway,IP 192.168.1.5 blocked due to suspicious activity.,Security Alert
SecurityGateway,Potential brute-force attack detected from IP 10.10.0.1.,Security Alert
SecurityGateway,Potential brute-force attack detected from IP 10.10.0.2.,Security Alert
SecurityGateway,Potential brute-force attack detected from IP 10.10.0.3.,Security Alert
SecurityGateway,Potential brute-force attack detected from IP 10.10.0.4.,Security Alert
SecurityGateway,Potential brute-force attack detected from IP 10.10.0.5.,Security Alert
ModernHR,GET /v1/servers/status HTTP/1.1 RCODE 200 len: 2100 time: 0.081,HTTP Status
ModernHR,GET /v1/servers/status HTTP/1.1 RCODE 200 len: 2200 time: 0.082,HTTP Status
ModernHR,GET /v1/servers/status HTTP/1.1 RCODE 200 len: 2300 time: 0.083,HTTP Status
